Title,Link,Description,Stars
briansunter/logseq-plugin-gpt3-openai,https://github.com/briansunter/logseq-plugin-gpt3-openai,A plugin for GPT-3 AI assisted note taking in Logseq,733
berylliumsec/nebula,https://github.com/berylliumsec/nebula,"AI -powered penetration testing assistant for automating recon, note - taking , and vulnerability analysis.",536
Dhravya/notty,https://github.com/Dhravya/notty,"An open source, minimal AI powered note taking app and powerful markdown editor",416
fynnfluegge/rocketnotes,https://github.com/fynnfluegge/rocketnotes,AI -powered markdown note taking app - leverage vector embeddings and LLMs with your knowledge base - 100% local or in the cloud,1.2k
zeus-12/uxie,https://github.com/zeus-12/uxie,"pdf reader app with note taking , annotations, collaboration, ai features (chat, flashcards generation w. ai -feedbacks), tts and ocr.",139
SystemSculpt/obsidian-systemsculpt-ai,https://github.com/SystemSculpt/obsidian-systemsculpt-ai,"Enhance your Obsidian App experience with AI -powered tools for note - taking , task management, and much, MUCH more.",123
Bistard/nota,https://github.com/Bistard/nota,📕Next-Gen AI -powered markdown note - taking application.,72
A-F-V/obsidian-arcana,https://github.com/A-F-V/obsidian-arcana,Supercharge your Obsidian note - taking through AI -powered insights and suggestions,111
AnthonyTlei/nextjs-ai-note-app,https://github.com/AnthonyTlei/nextjs-ai-note-app,"An intelligent note taking app built with Clerk, Next.js, OpenAI, Pinecone, Prisma, Shadcn UI and more.",18
drshahizan/obsidian,https://github.com/drshahizan/obsidian,Obsidian.md stands out as an exceptional note - taking application tailored specifically for academic writing. This repository is part of t…,109
Francis-Mwaniki/Note-Taking-Ai-Assistance,https://github.com/Francis-Mwaniki/Note-Taking-Ai-Assistance,No description,3
amadoug2g-zuehlke/AI_Note_Taking,https://github.com/amadoug2g-zuehlke/AI_Note_Taking,Flutter voice note app using Whisper API,5
soummyaanon/-noteX,https://github.com/soummyaanon/-noteX,"This Is My latest project Using React.js Appwrite ShadCN-Ui,AccernityUi, Framer, TailWindCss this is A Personal Ai Powerd Note taking App…",26
vasilecampeanu/obsidian-weaver,https://github.com/vasilecampeanu/obsidian-weaver,Weaver is an Obsidian plugin that integrates a ChatGPT-like interface into your note - taking workflow. This plugin makes it easy to access AI,212
manujainz/notesy-android,https://github.com/manujainz/notesy-android,AI -Based Notes App designed to make the note - taking experience seamless and fluid.,16
echo-saurav/obsidian-ai-note-suggestion,https://github.com/echo-saurav/obsidian-ai-note-suggestion,"An plugin for Obsidian.md for effortlessly get note suggestions base on semantic meaning as you type, eliminating the need for complex ta…",36
naturuplift/NoteMindAI,https://github.com/naturuplift/NoteMindAI,NoteMindAI is a note - taking application that integrates AI -driven features to enhance productivity and collaboration. It provides AI -Powe…,6
abhishekHegde2000/ai-note-app,https://github.com/abhishekHegde2000/ai-note-app,"Developed an AI -powered note - taking application using Next.js 14, ChatGPT API, vector embeddings, Pinecone, TailwindCSS, Shadcn UI, and T…",13
Meeting-Baas/transcript-seeker,https://github.com/Meeting-Baas/transcript-seeker,"An open-source, browser-based transcript viewer and manager. Upload, transcribe, and chat with meeting recordings using AI . Features meet…",37
nikogu/note-chat,https://github.com/nikogu/note-chat,Note Chat is a note - taking AI assistant based on LLMs,5
UNICKCHENG/logseq-ai-assistant,https://github.com/UNICKCHENG/logseq-ai-assistant,A Logseq plugin empowered by AI for effortless note - taking .,7
OverRaddit/ZettelGPT,https://github.com/OverRaddit/ZettelGPT,Turbocharge Your Note - taking with AI Assistance,21
AndreDalwin/Whisper2Summarize,https://github.com/AndreDalwin/Whisper2Summarize,Whisper2Summarize is an application that uses Whisper for audio processing and GPT for summarization. It generates summaries of audio tra…,51
aisemble/MemoMed,https://github.com/aisemble/MemoMed,MemoMed: An AI -Powered Medical Transcription and Note - Taking Tool,7
muhammadawaisshaikh/Edtech-AI,https://github.com/muhammadawaisshaikh/Edtech-AI,Educational platform utilising Google AI to enhance student learning and note - taking experience. The app will offer features like voice note,12
wubeshetA/SmartNote,https://github.com/wubeshetA/SmartNote,Generative AI powered Note taking mobile app converts your voice recording or other audio file into short notes and customized questions …,13
foundation-models/MediNoteAI,https://github.com/foundation-models/MediNoteAI,"MediNote AI transforms medical note - taking with AI , streamlining documentation for efficient, accurate patient records, and freeing up ti…",7
jparkerweb/pixel-banner,https://github.com/jparkerweb/pixel-banner,"🚩 Enhance your Obsidian notes with customizable banner images, including AI -generated designs and a curated store of downloadable banners…",110
marmelab/writers-delight,https://github.com/marmelab/writers-delight,A note taking app demonstrating react-admin's AI capabilities,3
0x77dev/meetingscribe,https://github.com/0x77dev/meetingscribe,"MeetingScribe is an AI -driven command-line tool designed to streamline your meeting experience by handling transcription, translation, and …",53
acorn-globus/waveflow,https://github.com/acorn-globus/waveflow,Offline Private Local Note Taking & Summary,10
HarrisonBounds/NotesAI,https://github.com/HarrisonBounds/NotesAI,"Note Taking application that records, transcribes, and summarizes audio into a standard note format.",2
9Ninety/MCPNotes,https://github.com/9Ninety/MCPNotes,A simple note - taking MCP server for recording and managing notes with AI models.,21
to-abhinav/ai-note-taking-app-nextjs,https://github.com/to-abhinav/ai-note-taking-app-nextjs,"This intelligent note - taking app, built with Next.js and TypeScript, allows users to create, update, and delete notes . It features an AI …",6
